employee_id,employee_name,employee_surname,sex,birth_date
1,nombre1,apellido1,1,20/10/1990
2,nombre2,apellido2,1,21/03/1987
3,nombre3,apellido3,1,05/12/1975
4,nombre4,apellido4,1,21/11/1967
5,nombre5,apellido5,1,21/09/1996
6,nombre6,apellido6,1,24/09/1998
7,nombre7,apellido7,2,03/04/1997
8,nombre8,apellido8,1,25/09/1973
9,nombre9,apellido9,2,23/09/1995
10,nombre10,apellido10,1,26/02/1998
11,nombre11,apellido11,2,10/11/1996
12,nombre12,apellido12,2,17/04/1989
13,nombre13,apellido13,1,11/04/1995
14,nombre14,apellido14,1,25/03/1996
15,nombre15,apellido15,1,27/12/1972
16,nombre16,apellido16,2,25/01/1997
17,nombre17,apellido17,2,26/12/1969
18,nombre18,apellido18,1,05/10/1960
19,nombre19,apellido19,2,22/05/1994
20,nombre20,apellido20,2,21/09/1998
21,nombre21,apellido21,2,22/02/1974
22,nombre22,apellido22,1,14/02/1995
23,nombre23,apellido23,1,11/07/1974
24,nombre24,apellido24,1,27/09/1990
25,nombre25,apellido25,1,11/06/1984
26,nombre26,apellido26,1,17/12/1984
27,nombre27,apellido27,1,28/02/1982
28,nombre28,apellido28,1,07/08/1978
29,nombre29,apellido29,2,27/04/1970
30,nombre30,apellido30,1,22/01/1993
31,nombre31,apellido31,1,16/10/1987
32,nombre32,apellido32,1,27/11/1986
33,nombre33,apellido33,1,02/03/1963
34,nombre34,apellido34,1,13/11/1994
35,nombre35,apellido35,1,09/06/1978
36,nombre36,apellido36,1,12/03/1978
37,nombre37,apellido37,1,24/01/1996
38,nombre38,apellido38,1,02/08/1976
39,nombre39,apellido39,2,01/12/1988
40,nombre40,apellido40,1,12/11/1996
41,nombre41,apellido41,1,21/07/1962
42,nombre42,apellido42,1,03/07/1978
43,nombre43,apellido43,1,05/05/2000
44,nombre44,apellido44,1,21/09/1984
45,nombre45,apellido45,1,08/02/1997
46,nombre46,apellido46,2,10/10/1989
47,nombre47,apellido47,1,08/06/1995
48,nombre48,apellido48,2,16/12/1998
49,nombre49,apellido49,1,02/06/1994
50,nombre50,apellido50,1,07/11/1979
51,nombre51,apellido51,1,17/05/1985
52,nombre52,apellido52,1,16/10/1965
53,nombre53,apellido53,1,22/12/1993
54,nombre54,apellido54,1,23/08/1998
55,nombre55,apellido55,2,02/01/1996
56,nombre56,apellido56,2,13/05/1995
57,nombre57,apellido57,1,02/07/1974
